energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
754.5,1793,1211
755.5,1812,1224
756.5,1689,1117
757.5,1451,972
758.5,1291,811
759.5,1180,733
760.5,1295,810
761.5,1364,910
762.5,1446,951
763.5,1521,1056
764.5,1411,921
765.5,1199,790
766.5,1061,662
767.5,1090,707
768.5,1051,686
769.5,1181,801
770.5,1496,1063
771.5,1915,1410
772.5,1977,1511
773.5,1812,1370
774.5,1384,981
775.5,1108,774
776.5,973,666
777.5,932,625
778.5,942,621
779.5,928,592
780.5,1062,717
781.5,1228,835
782.5,1338,993
783.5,1445,1034
784.5,1577,1153
785.5,1694,1264
786.5,1424,1050
787.5,1147,836
788.5,916,644
789.5,857,585
790.5,956,632
791.5,1134,783
792.5,1819,1341
793.5,2798,2155
794.5,3636,2883
795.5,3547,2773
796.5,2541,1978
797.5,1501,1114
798.5,961,675
799.5,804,527
800.5,744,474
801.5,718,475
802.5,714,478
803.5,666,454
804.5,667,444
805.5,706,462
806.5,675,431
807.5,663,451
808.5,674,439
809.5,685,449
810.5,636,408
811.5,666,425
812.5,634,398
813.5,644,434
814.5,659,460
815.5,635,422
816.5,673,438
817.5,685,455
818.5,650,434
819.5,630,406
820.5,638,407
821.5,683,464
822.5,641,424
823.5,624,412
824.5,671,435
825.5,661,435
826.5,668,415
827.5,715,474
828.5,809,570
829.5,974,689
830.5,1014,736
831.5,967,696
832.5,939,669
833.5,1102,810
834.5,1485,1114
835.5,1724,1327
836.5,1531,1169
837.5,1261,959
838.5,1149,836
839.5,1133,838
840.5,1191,899
841.5,1027,768
842.5,777,544
843.5,592,402
844.5,547,363
845.5,535,362
846.5,533,347
847.5,495,305
848.5,493,339
849.5,487,346
850.5,501,306
851.5,565,389
852.5,536,354
853.5,497,337
854.5,531,333
855.5,589,394
856.5,658,445
857.5,1032,736
858.5,1811,1368
859.5,2895,2313
860.5,3457,2768
861.5,2993,2394
862.5,1876,1447
863.5,959,716
864.5,565,405
865.5,508,321
866.5,461,309
867.5,495,319
868.5,480,320
869.5,512,342
870.5,482,328
871.5,527,340
872.5,490,317
873.5,532,356
874.5,500,326
875.5,488,329
876.5,431,274
877.5,449,306
878.5,431,273
879.5,452,289
880.5,429,264
881.5,402,258
882.5,481,308
883.5,443,280
884.5,473,313
885.5,430,288
886.5,470,305
887.5,453,305
888.5,436,305
889.5,473,317
890.5,496,317
891.5,495,336
892.5,620,426
893.5,669,478
894.5,617,436
895.5,517,365
896.5,504,324
897.5,435,296
898.5,459,307
899.5,472,313
900.5,516,349
901.5,609,415
902.5,720,523
903.5,909,675
904.5,945,697
905.5,959,700
906.5,1023,706
907.5,1757,1253
908.5,4281,3226
909.5,9120,7247
910.5,14930,12186
911.5,16989,13996
912.5,13313,10995
913.5,7063,5854
914.5,2582,2121
915.5,891,673
916.5,440,285
917.5,350,209
918.5,359,222
919.5,350,229
920.5,388,236
921.5,353,215
922.5,328,214
923.5,322,192
924.5,334,214
925.5,359,228
926.5,363,222
927.5,340,211
928.5,362,226
929.5,402,250
930.5,380,252
931.5,371,244
932.5,369,230
933.5,321,194
934.5,331,208
935.5,345,217
936.5,320,190
937.5,361,215
938.5,338,204
939.5,371,227
940.5,326,204
941.5,356,218
942.5,376,244
943.5,375,254
944.5,401,270
945.5,360,230
946.5,384,245
947.5,415,259
948.5,424,300
949.5,375,236
950.5,424,305
951.5,434,299
952.5,468,301
953.5,458,323
954.5,380,244
955.5,412,272
956.5,419,283
957.5,481,349
958.5,551,391
959.5,545,375
960.5,555,377
961.5,769,525
962.5,1452,1101
963.5,2533,1979
964.5,3502,2798
965.5,4106,3275
966.5,4799,3767
967.5,6832,5532
968.5,9415,7670
969.5,10049,8231
970.5,7457,6166
971.5,3842,3163
972.5,1449,1125
973.5,525,369
974.5,311,185
975.5,312,186
976.5,286,182
977.5,297,172
978.5,281,161
979.5,274,154
980.5,318,203
981.5,286,159
982.5,306,190
983.5,317,181
984.5,291,176
985.5,313,184
986.5,326,197
987.5,350,226
988.5,347,233
989.5,323,204
990.5,337,201
991.5,263,142
992.5,283,163
993.5,263,142
994.5,259,149
995.5,245,145
996.5,269,168
997.5,239,129
998.5,248,132
999.5,262,144
1000.5,249,142
1001.5,285,168
1002.5,259,144
1003.5,293,157
1004.5,255,137
1005.5,257,135
1006.5,266,148
1007.5,296,187
1008.5,235,132
1009.5,273,159
1010.5,275,164
1011.5,273,151
1012.5,268,156
1013.5,267,155
1014.5,262,156
1015.5,309,172
1016.5,265,150
1017.5,294,171
1018.5,282,161
1019.5,296,176
1020.5,274,168
1021.5,262,149
1022.5,287,162
1023.5,275,158
1024.5,270,164
1025.5,274,164
1026.5,281,155
1027.5,274,153
1028.5,295,161
1029.5,269,160
1030.5,270,161
1031.5,325,212
1032.5,386,238
1033.5,360,248
1034.5,305,186
1035.5,304,193
1036.5,269,157
1037.5,262,147
1038.5,291,177
1039.5,288,179
1040.5,297,179
1041.5,301,181
1042.5,297,185
1043.5,291,162
1044.5,229,125
1045.5,251,164
1046.5,241,128
1047.5,246,150
1048.5,242,139
1049.5,255,149
1050.5,239,144
1051.5,264,151
1052.5,283,162
1053.5,236,148
1054.5,281,178
1055.5,262,146
1056.5,259,141
1057.5,280,160
1058.5,241,146
1059.5,234,132
1060.5,246,131
1061.5,259,148
1062.5,267,156
1063.5,287,182
1064.5,345,220
1065.5,348,223
1066.5,294,192
1067.5,304,195
1068.5,300,171
1069.5,277,155
1070.5,261,143
1071.5,271,157
1072.5,263,145
1073.5,279,172
1074.5,270,161
1075.5,289,178
1076.5,368,244
1077.5,451,313
1078.5,555,403
1079.5,495,336
1080.5,462,328
1081.5,362,232
1082.5,280,179
1083.5,249,148
1084.5,264,144
1085.5,264,140
1086.5,257,155
1087.5,232,133
1088.5,232,137
1089.5,246,156
1090.5,284,161
1091.5,293,175
1092.5,314,194
1093.5,356,238
1094.5,419,286
1095.5,403,260
1096.5,316,197
1097.5,296,177
1098.5,280,160
1099.5,258,152
1100.5,258,145
1101.5,260,148
1102.5,262,157
1103.5,257,147
1104.5,241,138
1105.5,269,150
1106.5,253,135
1107.5,281,178
1108.5,310,197
1109.5,365,238
1110.5,432,308
1111.5,418,296
1112.5,385,267
1113.5,296,187
1114.5,285,150
1115.5,266,157
1116.5,272,165
1117.5,273,168
1118.5,296,182
1119.5,292,176
1120.5,270,169
1121.5,287,176
1122.5,239,150
1123.5,298,171
1124.5,224,124
1125.5,253,160
1126.5,259,146
1127.5,236,135
1128.5,234,115
1129.5,225,119
1130.5,286,154
1131.5,262,155
1132.5,226,132
1133.5,255,138
1134.5,268,156
1135.5,263,144
1136.5,242,122
1137.5,241,125
1138.5,241,133
1139.5,265,161
1140.5,246,152
1141.5,237,146
1142.5,270,154
1143.5,253,136
1144.5,235,136
1145.5,219,125
1146.5,240,145
1147.5,294,177
1148.5,273,153
1149.5,274,167
1150.5,268,170
1151.5,304,181
1152.5,330,199
1153.5,319,192
1154.5,313,195
1155.5,316,188
1156.5,248,160
1157.5,268,143
1158.5,244,143
1159.5,271,157
1160.5,238,132
1161.5,258,149
1162.5,277,166
