threshold,selected_events,selected_fraction,geometric_mean_pb_improvement,minimum_peak_retention,mean_peak_retention,pooled_net_peak_retention,all_peak_statistics_reliable,sensitivity_geometric_mean_pb_improvement_excluding_209,sensitivity_minimum_peak_retention_excluding_209,sensitivity_mean_peak_retention_excluding_209,sensitivity_statistics_reliable_excluding_209
0.201,2853066,0.9885499939018305,1.0154892643614977,0.994997634238836,0.9995794125781071,0.9996231366480081,True,1.0161103267325997,0.994997634238836,0.9996748506261233,True
0.2015,2852852,0.9884758457052256,1.0154662282987137,0.994997634238836,0.9995248615868657,0.999595423454367,True,1.0160468677192624,0.994997634238836,0.9995855902095586,True
0.202,2852639,0.9884020439955206,1.0153841949826816,0.9942920762761759,0.9994022613634378,0.9995610746357523,True,1.015924463662222,0.9942920762761759,0.9994257691452931,True
0.2025,2852427,0.9883285887727157,1.0155203914965016,0.9942920762761759,0.9993744259424083,0.9995468797422838,True,1.01609413591367,0.9942920762761759,0.9994127969653854,True
0.203,2852209,0.9882530546285107,1.0158093192436337,0.9957020686955267,0.9995310527980609,0.9995443298272846,True,1.0163720677122392,0.9957020686955267,0.9995508785083582,True
0.20350000000000001,2851992,0.9881778669712056,1.0160808324229944,0.99572301579537,0.9996051523870324,0.9995393559174175,True,1.0166393772356603,0.99572301579537,0.9996045239354753,True
0.20400000000000001,2851765,0.9880992144449002,1.0162629442963826,0.9964307364221617,0.9996131814204734,0.9995310227157214,True,1.0168277934972816,0.9964307364221617,0.999602946273155,True
0.20450000000000002,2851527,0.9880167505626948,1.0161452861530822,0.9964307364221617,0.9994649793944571,0.9995021786937496,True,1.016719691382532,0.9964307364221617,0.999461082498291,True
0.20500000000000002,2851279,0.987930821811489,1.0162968596537179,0.9957251784595016,0.9994273628362196,0.9994703316595732,True,1.0168814905223187,0.9957251784595016,0.9994192890166437,True
0.20550000000000002,2851025,0.9878428141388831,1.0162512552274652,0.9950382224170229,0.9993190580696331,0.9994462569907703,True,1.0168273885240584,0.9950382224170229,0.9992989142068036,True
0.20600000000000002,2850791,0.9877617362042775,1.0162628085982548,0.9950382224170229,0.9992743309578485,0.9994332382405384,True,1.0168056874758262,0.9950382224170229,0.9992205301648391,True
0.20650000000000002,2850549,0.987677886374472,1.0164788578740829,0.9957486985008949,0.9993409629848962,0.9994323683695333,True,1.0170242498445612,0.9957486985008949,0.999276609839171,True
0.20700000000000002,2850281,0.9875850278852657,1.0164508881864829,0.9957486985008949,0.9992976639437128,0.9994096136246425,True,1.0170114200811036,0.9957486985008949,0.9992464558590921,True
0.20750000000000002,2850007,0.9874900904746593,1.0162936821350372,0.994358521752014,0.9991220585615661,0.9993730525557549,True,1.0167898397303283,0.994358521752014,0.9990152450251182,True
0.20800000000000002,2849740,0.9873975784723531,1.016654562805217,0.9950607409682477,0.9992593888055454,0.9993482223049523,True,1.0171564804584552,0.9950607409682477,0.9991391467205397,True
0.2085,2849475,0.9873057594438469,1.0164198087232825,0.9929440670802674,0.9989988218964131,0.9993038962892945,True,1.016932030133516,0.9929440670802674,0.9988855400639758,True
0.209,2849219,0.987217058797441,1.0165395915542557,0.9922385091176074,0.9989678209990688,0.9993127122556866,True,1.017083453904828,0.9922385091176074,0.9988690506881626,True
0.2095,2848923,0.9871144986750341,1.016931417401186,0.9929184833336588,0.9991183967332538,0.999304860301925,True,1.0175071108797675,0.9929184833336588,0.9990264404987139,True
0.21,2848641,0.9870167893692275,1.0171134698699826,0.9943271094082016,0.9991514005713922,0.9992596178497883,True,1.0177138417045535,0.9943271094082016,0.9990706617721838,True
0.2105,2848349,0.9869156151944207,1.017233823715486,0.9929159934828814,0.9990375206146824,0.9992421562903786,True,1.0178659284236944,0.9929159934828814,0.9989620845526309,True
0.211,2848047,0.9868109761506138,1.0172110269590542,0.9915255332112246,0.9989019408646241,0.9992334129338007,True,1.0178350315356393,0.9915255332112246,0.9988092795311648,True
0.2115,2847729,0.9867007933164063,1.0171920246238373,0.9915429157139675,0.9987621672169624,0.9992004177534379,True,1.0178181284674293,0.9915429157139675,0.9986614328458244,True
0.212,2847414,0.9865916499428989,1.0174471126378621,0.9922439311373146,0.998826208300714,0.9991993011384833,True,1.0181041395410264,0.9922439311373146,0.9987373705812226,True
0.2125,2847093,0.9864804276479915,1.0177072834312464,0.9929516182011583,0.9989422426454334,0.9991741712207033,True,1.0183717329714825,0.9929516182011583,0.9988483247277252,True
0.213,2846766,0.9863671264316839,1.017672970063062,0.99364161749875,0.9988384801234826,0.9991238682029706,True,1.0183518729798868,0.99364161749875,0.9987509891023492,True
